Year,State,District,RICE YIELD (Kg per ha),RICE IRRIGATED AREA (1000 ha),RABI SORGHUM YIELD (Kg per ha),RABI SORGHUM IRRIGATED AREA (1000 ha),SORGHUM YIELD (Kg per ha),SORGHUM IRRIGATED AREA (1000 ha),SUGARCANE YIELD (Kg per ha),SUGARCANE IRRIGATED AREA (1000 ha),COTTON YIELD (Kg per ha),COTTON IRRIGATED AREA (1000 ha),Zn %,Fe%,Cu %,Mn %,B %,S %
1966,Chhattisgarh,Durg,337.59,73.3,0,0,666.67,0,1777.78,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1967,Chhattisgarh,Durg,747.71,100.7,0,0,818.18,0,1500,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1968,Chhattisgarh,Durg,841.27,124.6,0,0,800,0,1000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1969,Chhattisgarh,Durg,711.4,130.8,0,0,750,0,1900,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1970,Chhattisgarh,Durg,828.55,131.3,0,0,666.67,0,2000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1971,Chhattisgarh,Durg,709.69,141.4,0,0,666.67,0,2000,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1972,Chhattisgarh,Durg,654.41,133.7,0,0,1000,0,2000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1973,Chhattisgarh,Durg,786.5,147,0,0,1000,0,6000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1974,Chhattisgarh,Durg,372.83,89.7,0,0,800,0,1875,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1975,Chhattisgarh,Durg,758.82,130.2,0,0,1000,0,1750,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1976,Chhattisgarh,Durg,551.04,141.6,0,0,1000,0,1333.33,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1977,Chhattisgarh,Durg,952.89,161.9,0,0,1000,0,3000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1978,Chhattisgarh,Durg,591.35,179,0,0,1000,0,2000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1979,Chhattisgarh,Durg,535.99,194.4,0,0,1000,0,1000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1980,Chhattisgarh,Durg,812.1,186.8,0,0,1000,0,1000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1981,Chhattisgarh,Durg,804.6,189.9,0,0,1000,0,1000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1982,Chhattisgarh,Durg,817.49,194.5,0,0,1000,0,2000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1983,Chhattisgarh,Durg,1134.51,202.2,0,0,1000,0,1500,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1984,Chhattisgarh,Durg,891.81,217.1,0,0,1000,0,1666.67,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1985,Chhattisgarh,Durg,1109.38,215.6,0,0,666.67,0,1000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1986,Chhattisgarh,Durg,816.49,244.7,0,0,500,0,1250,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1987,Chhattisgarh,Durg,807.1,209.5,0,0,666.67,0,3000,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1988,Chhattisgarh,Durg,842.19,204.4,0,0,1000,0,2500,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1989,Chhattisgarh,Durg,692.67,216.2,0,0,1000,0,1750,0.1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1990,Chhattisgarh,Durg,1181.43,215.58,0,0,800,0,1428.57,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1991,Chhattisgarh,Durg,1136.31,259.19,0,0,782.61,0,1956.52,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1992,Chhattisgarh,Durg,1129.8,270.3,0,0,909.09,0,1714.29,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1993,Chhattisgarh,Durg,1246.02,280.48,1416.67,0,1384.62,0,1777.78,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1994,Chhattisgarh,Durg,1331.73,283.76,0,0,666.67,0,1750,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1995,Chhattisgarh,Durg,1454.44,290.5,0,0,1000,0,1600,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1996,Chhattisgarh,Durg,1290.2,285.16,0,0,666.67,0,1833.33,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1997,Chhattisgarh,Durg,1138.37,291,0,0,80.65,0,1875,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1998,Chhattisgarh,Durg,870.45,252.479,0,0,1000,0,1939.21,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
1999,Chhattisgarh,Durg,1251.04,300.583,0,0,0,0,3340.34,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
2000,Chhattisgarh,Durg,624.89,235.083,0,0,558.46,0,178.83,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
2001,Chhattisgarh,Durg,1294.13,303.093,0,0,902.45,0,188.49,0,0,0,68.84,84.13,99.58,97.55,63.75,54.74
2002,Chhattisgarh,Durg,643.6,258.576,0,0,947.81,0,206.84,1.15,500,0,68.84,84.13,99.58,97.55,63.75,54.74
2003,Chhattisgarh,Durg,1494.73,262.396,0,0,872.07,0,207.38,2.319,714.29,0,68.84,84.13,99.58,97.55,63.75,54.74
2004,Chhattisgarh,Durg,1268.46,303.976,0,0,678.48,0,206.84,2.759,512.2,0,68.84,84.13,99.58,97.55,63.75,54.74
2005,Chhattisgarh,Durg,1268.46,311.889,0,0,604.58,0,206.84,4.306,0,0,68.84,84.13,99.58,97.55,63.75,54.74
2006,Chhattisgarh,Durg,1505.81,326.318,0,0,717.19,0,105.93,7.554,263.16,0,68.84,84.13,99.58,97.55,63.75,54.74
2007,Chhattisgarh,Durg,1369.98,339.7,0,0,920.85,0,123.15,2.15,250,0,68.84,84.13,99.58,97.55,63.75,54.74
2008,Chhattisgarh,Durg,876.42,324.632,0,0,1244.99,0,111.7,1.16,1000,0,68.84,84.13,99.58,97.55,63.75,54.74
2009,Chhattisgarh,Durg,788.37,292.525,0,0,1180.57,0,231.58,1,0,0,68.84,84.13,99.58,97.55,63.75,54.74
2010,Chhattisgarh,Durg,1695.77,327.533,0,0,1393.94,0,256.96,5.278,0,0,68.84,84.13,99.58,97.55,63.75,54.74
2011,Chhattisgarh,Durg,1756.23,338.588,0,0,774.6,0,506.02,8.702,250,0.08,68.84,84.13,99.58,97.55,63.75,54.74
2012,Chhattisgarh,Durg,1900.97,346.117,0,0.01,705.81,0.01,252.98,13.036,153.85,0.1,68.84,84.13,99.58,97.55,63.75,54.74
2013,Chhattisgarh,Durg,1581.86,359.045,0,0,636.36,0,237.45,11.542,200,0.04,68.84,84.13,99.58,97.55,63.75,54.74
2014,Chhattisgarh,Durg,1729.89,372.725,0,0,809.24,0,602.17,14.38,400,0.03,68.84,84.13,99.58,97.55,63.75,54.74
2015,Chhattisgarh,Durg,1076.95,361.631,0,0.01,1039.58,0.01,228.49,17.041,200,0.04,68.84,84.13,99.58,97.55,63.75,54.74
2016,Chhattisgarh,Durg,2085.96,396.554,0,0,1592.3,0.02,389.38,17.503,317.81,0.06,68.84,84.13,99.58,97.55,63.75,54.74
2017,Chhattisgarh,Durg,1168.92,352.733,0,0.002,1268.62,0.003,181.06,19.82,297.85,0.234,68.84,84.13,99.58,97.55,63.75,54.74
1966,Chhattisgarh,Bastar,642.86,10.3,0,0,857.14,0,3428.57,0.6,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1967,Chhattisgarh,Bastar,770.53,10.7,0,0,807.02,0,3111.11,0.7,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1968,Chhattisgarh,Bastar,694.71,9.7,0,0,768.12,0,3083.33,0.9,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1969,Chhattisgarh,Bastar,766.72,10.6,0,0,705.88,0,3416.67,0.8,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1970,Chhattisgarh,Bastar,723.78,10.5,0,0,800,0,3454.55,0.7,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1971,Chhattisgarh,Bastar,822.71,10.3,0,0,661.29,0,3166.67,0.7,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1972,Chhattisgarh,Bastar,645,10.1,0,0,787.88,0,3363.64,0.7,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1973,Chhattisgarh,Bastar,808.66,9.9,0,0,851.85,0,3333.33,0.7,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1974,Chhattisgarh,Bastar,670.73,5.2,0,0,716.05,0,3083.33,0.6,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1975,Chhattisgarh,Bastar,890.03,5.1,0,0,868.13,0,3363.64,0.5,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1976,Chhattisgarh,Bastar,644.26,5.7,0,0,635.14,0,3222.22,0.5,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1977,Chhattisgarh,Bastar,909.17,5.5,0,0,779.22,0,3125,0.6,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1978,Chhattisgarh,Bastar,820.15,6,0,0,692.31,0,3500,0.5,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1979,Chhattisgarh,Bastar,621.51,7.4,0,0,882.98,0,2428.57,0.5,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1980,Chhattisgarh,Bastar,754.33,7.8,0,0,861.7,0,3400,0.3,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1981,Chhattisgarh,Bastar,743.65,9,0,0,911.11,0,3500,0.3,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1982,Chhattisgarh,Bastar,705.7,10.1,0,0,611.11,0,3500,0.3,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1983,Chhattisgarh,Bastar,758.36,10.5,0,0,940,0,3500,0.3,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1984,Chhattisgarh,Bastar,741.66,13.5,0,0,1041.24,0,3250,0.3,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1985,Chhattisgarh,Bastar,1502.16,13,0,0,1053.76,0,3000,0.2,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1986,Chhattisgarh,Bastar,724.82,15.3,0,0,888.89,0,3500,0.2,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1987,Chhattisgarh,Bastar,688.29,16.2,0,0,1011.11,0.3,4000,0.2,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1988,Chhattisgarh,Bastar,965.78,15.4,0,0,914.89,0,3000,0.3,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1989,Chhattisgarh,Bastar,952.77,16.9,0,0,1011.11,0,3500,0.2,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1990,Chhattisgarh,Bastar,970.47,12.06,920,0,962.96,0,3666.67,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1991,Chhattisgarh,Bastar,1072.13,14.28,782.61,0,961.04,0,2941.18,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1992,Chhattisgarh,Bastar,912.56,14.85,1363.64,0,1106.67,0,3513.51,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1993,Chhattisgarh,Bastar,997.36,15.09,0,0,1709.09,0,3750,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1994,Chhattisgarh,Bastar,990.33,14.59,761.9,0,837.84,0,3000,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1995,Chhattisgarh,Bastar,951.7,13.82,1150,0,1100,0,3666.67,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1996,Chhattisgarh,Bastar,1040.99,14.15,948.28,0,1000,0,3250,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1997,Chhattisgarh,Bastar,730.57,13.48,0,0,824.26,0,3448.28,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1998,Chhattisgarh,Bastar,908.63,27.79,1333.33,0,1175.93,0,4000,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1999,Chhattisgarh,Bastar,1075.95,16.47,0,0,0,0,3648.65,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2000,Chhattisgarh,Bastar,834.2,16.21,0,0,590.05,0,295.45,0,166.67,0,36.75,90.97,92.5,95.56,21.93,18.83
2001,Chhattisgarh,Bastar,1454.52,18.54,0,0,986.79,0,333.33,0,222.22,0,36.75,90.97,92.5,95.56,21.93,18.83
2002,Chhattisgarh,Bastar,531.14,18.17,0,0,631.02,0,281.25,0,142.86,0,36.75,90.97,92.5,95.56,21.93,18.83
2003,Chhattisgarh,Bastar,1648.41,16.06,0,0,1096.95,0,318.18,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2004,Chhattisgarh,Bastar,1241.05,17.85,0,0,698.59,0,322.58,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2005,Chhattisgarh,Bastar,1241.05,19.29,0,0,543.86,0,322.58,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2006,Chhattisgarh,Bastar,1530.61,22.16,0,0,597.35,0,145.83,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2007,Chhattisgarh,Bastar,1481.83,23.13,0,0,850,0,161.54,6.45,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2008,Chhattisgarh,Bastar,1161.76,23.14,0,0,817.31,0,184.87,4.76,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2009,Chhattisgarh,Bastar,1089.04,23.14,0,0,1180.49,0,330.1,4.33,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2010,Chhattisgarh,Bastar,1905.45,24.9,0,0,1629.63,0,117.65,0,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2011,Chhattisgarh,Bastar,1231.23,27.09,0,0,903.67,0,629.63,0.75,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2012,Chhattisgarh,Bastar,2103.06,28.22,0,0,860.99,0,355.56,0.54,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2013,Chhattisgarh,Bastar,1969.4,29.8,0,0,726.03,0,269.23,0.73,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2014,Chhattisgarh,Bastar,2129.33,31.07,0,0,950,0,540.98,0.73,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2015,Chhattisgarh,Bastar,1030.87,32.58,0,0,910.18,0,298.52,0.78,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2016,Chhattisgarh,Bastar,1973.24,32.19,0,0,1402.4,0,218.24,0.76,0,0,36.75,90.97,92.5,95.56,21.93,18.83
2017,Chhattisgarh,Bastar,1214.23,32.078,0,0,1202.96,0,152.5,0.616,0,0,36.75,90.97,92.5,95.56,21.93,18.83
1966,Chhattisgarh,Raipur,654.11,181.2,0,0,833.33,0,3000,0.9,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1967,Chhattisgarh,Raipur,860.88,179.3,0,0,1000,0,3300,1,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1968,Chhattisgarh,Raipur,861.24,201.4,0,0,833.33,0,3333.33,1.2,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1969,Chhattisgarh,Raipur,912.95,207,0,0,666.67,0,3200,1,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1970,Chhattisgarh,Raipur,1209.29,198.8,0,0,800,0,3300,1,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1971,Chhattisgarh,Raipur,929.1,210.7,0,0,800,0,3600,1,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1972,Chhattisgarh,Raipur,902.64,209.1,0,0,1000,0,4000,0.9,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1973,Chhattisgarh,Raipur,867.45,191,0,0,1000,0,6600,0.8,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1974,Chhattisgarh,Raipur,539.67,162.3,0,0,750,0,3500,0.9,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1975,Chhattisgarh,Raipur,884.47,180.8,0,0,1000,0,3500,0.8,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1976,Chhattisgarh,Raipur,746.39,220.8,0,0,800,0,3750,0.9,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1977,Chhattisgarh,Raipur,1155.27,241.9,0,0,1166.67,0,3875,0.8,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1978,Chhattisgarh,Raipur,865.4,268,0,0,666.67,0,3833.33,0.8,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1979,Chhattisgarh,Raipur,528.55,278.1,0,0,500,0,2857.14,0.9,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1980,Chhattisgarh,Raipur,892.05,273.6,0,0,833.33,0,4250,0.6,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1981,Chhattisgarh,Raipur,989.87,284.4,0,0,1000,0,3500,0.5,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1982,Chhattisgarh,Raipur,772.31,317.3,0,0,500,0,3250,0.6,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1983,Chhattisgarh,Raipur,1232.15,306.2,0,0,1000,0,3666.67,0.6,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1984,Chhattisgarh,Raipur,1149.63,331.1,0,0,833.33,0,4333.33,0.5,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1985,Chhattisgarh,Raipur,1587.32,309.1,0,0,1000,0,3666.67,0.4,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1986,Chhattisgarh,Raipur,989,363.7,0,0,800,0,4500,0.4,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1987,Chhattisgarh,Raipur,1231.14,364.1,0,0,800,0,2666.67,0.4,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1988,Chhattisgarh,Raipur,1026.81,333.9,0,0,800,0,2333.33,0.4,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1989,Chhattisgarh,Raipur,1418.61,360.2,0,0,800,0,3000,0.3,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1990,Chhattisgarh,Raipur,1363.15,361,0,0,833.33,0,3200,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1991,Chhattisgarh,Raipur,1427,382.73,0,0,800,0,3076.92,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1992,Chhattisgarh,Raipur,1609.95,399.55,0,0,800,0,3103.45,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1993,Chhattisgarh,Raipur,1598.11,410.03,0,0,1000,0,2962.96,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1994,Chhattisgarh,Raipur,1448.82,415.34,0,0,750,0,3000,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1995,Chhattisgarh,Raipur,1447.49,434.81,0,0,750,0,3000,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1996,Chhattisgarh,Raipur,1683.87,403.41,0,0,666.67,0,4000,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1997,Chhattisgarh,Raipur,1106.25,432.99,0,0,833.33,0,3000,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1998,Chhattisgarh,Raipur,712.86,416.66,0,0,800,0,2500,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
1999,Chhattisgarh,Raipur,1451.13,468.78,0,0,0,0,3157.89,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2000,Chhattisgarh,Raipur,518.81,355.04,0,0,638.89,0,312.5,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2001,Chhattisgarh,Raipur,1241.74,423.64,0,0,888.89,0,272.73,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2002,Chhattisgarh,Raipur,734.67,382.83,0,0,1000,0,272.73,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2003,Chhattisgarh,Raipur,1442.52,387.12,0,0,892.86,0,266.67,0,500,0,65.03,98.28,99.73,99.71,78.16,83.21
2004,Chhattisgarh,Raipur,1249.64,431.75,0,0,653.85,0,294.12,0,666.67,0,65.03,98.28,99.73,99.71,78.16,83.21
2005,Chhattisgarh,Raipur,1249.64,452.19,0,0,653.85,0,294.12,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2006,Chhattisgarh,Raipur,1442.43,489.51,0,0,760.87,0,192.31,0,400,0,65.03,98.28,99.73,99.71,78.16,83.21
2007,Chhattisgarh,Raipur,1550.53,513.55,0,0,1023.7,0,200,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2008,Chhattisgarh,Raipur,1329.15,484.24,0,0,1318.18,0,206.9,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2009,Chhattisgarh,Raipur,1407.66,477.88,0,0,1652.17,0,40,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2010,Chhattisgarh,Raipur,1661.71,532.69,0,0,1045.45,0,307.69,0,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2011,Chhattisgarh,Raipur,1483.67,514.09,0,0,833.33,0,538.46,0.25,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2012,Chhattisgarh,Raipur,1987.25,563.44,0,0,625,0.09,363.64,0.42,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2013,Chhattisgarh,Raipur,1733.23,574.31,0,0,714.29,0,347.83,0.35,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2014,Chhattisgarh,Raipur,2055.8,585.09,0,0,888.89,0,583.33,0.39,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2015,Chhattisgarh,Raipur,1431.57,546.19,0,0,1000,0,297.3,0.4,0,0,65.03,98.28,99.73,99.71,78.16,83.21
2016,Chhattisgarh,Raipur,2410.09,586.23,0,0,1200,0,201.17,0.34,408,0.01,65.03,98.28,99.73,99.71,78.16,83.21
2017,Chhattisgarh,Raipur,1585.96,524.374,0,0,1000,0,174.91,0.267,360,0.013,65.03,98.28,99.73,99.71,78.16,83.21
1966,Chhattisgarh,Bilaspur,520.83,144.1,0,0,615.38,0,1800,1.1,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1966,Chhattisgarh,Bilaspur,520.83,144.1,0,0,615.38,0,1800,1.1,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1967,Chhattisgarh,Bilaspur,875,100.6,0,0,1000,0,1787.88,1,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1967,Chhattisgarh,Bilaspur,875,100.6,0,0,1000,0,1787.88,1,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1968,Chhattisgarh,Bilaspur,660.84,134.2,0,0,714.29,0,1931.03,1.6,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1968,Chhattisgarh,Bilaspur,660.84,134.2,0,0,714.29,0,1931.03,1.6,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1969,Chhattisgarh,Bilaspur,719.27,127.1,0,0,714.29,0,1965.52,1.5,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1969,Chhattisgarh,Bilaspur,719.27,127.1,0,0,714.29,0,1965.52,1.5,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1970,Chhattisgarh,Bilaspur,930.96,95.9,0,0,750,0,2043.48,1.1,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1970,Chhattisgarh,Bilaspur,930.96,95.9,0,0,750,0,2043.48,1.1,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1971,Chhattisgarh,Bilaspur,890.98,106.8,0,0,666.67,0,2041.67,1.3,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1971,Chhattisgarh,Bilaspur,890.98,106.8,0,0,666.67,0,2041.67,1.3,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1972,Chhattisgarh,Bilaspur,840.15,109.6,0,0,1235.29,0,2000,1.1,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1972,Chhattisgarh,Bilaspur,840.15,109.6,0,0,1235.29,0,2000,1.1,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1973,Chhattisgarh,Bilaspur,778.19,91.6,0,0,941.18,0,4090.91,1.1,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1973,Chhattisgarh,Bilaspur,778.19,91.6,0,0,941.18,0,4090.91,1.1,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1974,Chhattisgarh,Bilaspur,767.47,123.2,0,0,882.35,0,2166.67,1,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1974,Chhattisgarh,Bilaspur,767.47,123.2,0,0,882.35,0,2166.67,1,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1975,Chhattisgarh,Bilaspur,1008.9,111,0,0,833.33,0,2409.09,0.8,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1975,Chhattisgarh,Bilaspur,1008.9,111,0,0,833.33,0,2409.09,0.8,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1976,Chhattisgarh,Bilaspur,660.76,156.1,0,0,666.67,0,2080,0.7,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1976,Chhattisgarh,Bilaspur,660.76,156.1,0,0,666.67,0,2080,0.7,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1977,Chhattisgarh,Bilaspur,1066.75,147.1,0,0,842.11,0,2157.89,0.7,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1977,Chhattisgarh,Bilaspur,1066.75,147.1,0,0,842.11,0,2157.89,0.7,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1978,Chhattisgarh,Bilaspur,770.87,151,0,0,700,0,2100,0.7,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1978,Chhattisgarh,Bilaspur,770.87,151,0,0,700,0,2100,0.7,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1979,Chhattisgarh,Bilaspur,332.01,115.8,0,0,555.56,0,1500,1.2,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1979,Chhattisgarh,Bilaspur,332.01,115.8,0,0,555.56,0,1500,1.2,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1980,Chhattisgarh,Bilaspur,969.09,140.6,0,0,842.11,0,2111.11,0.9,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1980,Chhattisgarh,Bilaspur,969.09,140.6,0,0,842.11,0,2111.11,0.9,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1981,Chhattisgarh,Bilaspur,883.45,141.9,0,0,684.21,0,2250,0.9,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1981,Chhattisgarh,Bilaspur,883.45,141.9,0,0,684.21,0,2250,0.9,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1982,Chhattisgarh,Bilaspur,616.57,149.9,0,0,529.41,0,2000,0.9,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1982,Chhattisgarh,Bilaspur,616.57,149.9,0,0,529.41,0,2000,0.9,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1983,Chhattisgarh,Bilaspur,1006.04,142,0,0,777.78,0,2111.11,0.6,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1983,Chhattisgarh,Bilaspur,1006.04,142,0,0,777.78,0,2111.11,0.6,0,0,67.45,92.95,99.71,84.7,99.83,99.77
1984,Chhattisgarh,Bilaspur,833.64,176.3,0,0,722.22,0,2166.67,0.4,0,0,74.54,96.48,98.45,93.32,86.97,88.01
1984,Chhattisgarh,Bilaspur,833.64,176.3,0,0,722.22,0,2166.67,0.4,0,0,67.45,92.95,99.71,84.7,99.83,99.77
